id,departure_time_local,arrival_time_local,airline_name,duration_iso8601,destination_iata,stop_count,origin_iata,emissions_co2e_kg,price,extracted_at
3BwoUhsK,CPV–CNF,CPV–CNF,Azul,"['2h', '35']",0,0,0,['165'],1.221,"08/10/2025, 22:16:16"
mJ4HR3TT,CPV–CNF,CPV–CNF,Azul,"['4h', '55']",0,0,0,['1h'],Média,"08/10/2025, 22:16:16"
CazRhiFm,CPV–CNF,CPV–CNF,Azul,"['7h', '5']",0,0,0,['3h'],Média,"08/10/2025, 22:16:16"
N64fDDRX,CPV–CNF,CPV–CNF,Azul,"['8h', '15']",0,0,0,['5h'],Média,"08/10/2025, 22:16:16"
QbVYKTW7,CPV–CNF,CPV–CNF,Azul,"['15h', '35']",0,0,0,['12h'],Média,"08/10/2025, 22:16:16"
RwrxPt4s,min,min,Autotransferência,"['Azul', '26h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:16"
XVdPi2yD,min,min,Autotransferência,"['Azul', '26h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:17"
mBYARx8G,min,min,Autotransferência,"['Azul', '21h']",0,0,0,['paradas'],117%,"08/10/2025, 22:16:17"
LaeiFVPa,min,min,Autotransferência,"['Azul', '22h']",0,0,0,['paradas'],110%,"08/10/2025, 22:16:17"
gYYvSWVG,min,min,Autotransferência,"['Azul', '6h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:17"
SQ9XMocT,min,min,Autotransferência,"['Azul', '17h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:17"
Mqj4q5Dz,40,40,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],44%,"08/10/2025, 22:16:17"
3v7h7Zmw,35,35,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],46%,"08/10/2025, 22:16:17"
iTRn6v4G,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['8h'],246,"08/10/2025, 22:16:17"
RjAv6tSy,min,min,Autotransferência,"['Azul', '8h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:17"
5KtJFBxu,50,50,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],72%,"08/10/2025, 22:16:17"
2TThu9nW,por,por,Autotransferência,"['Azul,', 'LATAM,']",0,0,0,['Brasil'],BSB,"08/10/2025, 22:16:18"
besWViC4,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['Latam'],paradas,"08/10/2025, 22:16:18"
ST9y4Fgv,55,55,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],48%,"08/10/2025, 22:16:18"
gooBsSMN,45,45,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],43%,"08/10/2025, 22:16:18"
7UeYZbrj,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['22h'],243,"08/10/2025, 22:16:18"
JLhLwDim,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['24h'],243,"08/10/2025, 22:16:18"
bL3dJA9s,10,10,Autotransferência,"['Azul,', 'Gol']",0,0,0,['2'],43%,"08/10/2025, 22:16:18"
5K5s6jno,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['17h'],300,"08/10/2025, 22:16:18"
84veBnk2,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['17h'],282,"08/10/2025, 22:16:18"
FFf9Rwnj,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['19h'],de,"08/10/2025, 22:16:19"
gVPZkwTq,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['19h'],de,"08/10/2025, 22:16:19"
AZNxMHx7,CPV–CNF,CPV–CNF,Azul,"['8h', '20']",0,0,0,"['REC,']",emissões,"08/10/2025, 22:16:19"
fVAvvGot,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['19h'],kg,"08/10/2025, 22:16:19"
8ZpVSDbn,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['31h'],300,"08/10/2025, 22:16:19"
Rp6LYDDD,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['22h'],243,"08/10/2025, 22:16:19"
TVaoPStU,Latam,Latam,Autotransferência,"['Azul,', 'LATAMOperado']",0,0,0,['24h'],243,"08/10/2025, 22:16:19"
aLbgSGfr,min,min,Autotransferência,"['Azul', '24h']",0,0,0,['paradas'],mais,"08/10/2025, 22:16:19"
c57HhXzg,CPV–CNF,CPV–CNF,Azul,"['8h', '55']",0,0,0,"['REC,']",emissões,"08/10/2025, 22:16:19"
FAezYZkw,paradas,paradas,Azul,"['7h', 'CPV–CNF']",0,0,0,['273'],4.643,"08/10/2025, 22:16:19"
