id,origin_iata,destination_iata,departure_time_local,arrival_time_local,main_airline,all_airlines,duration_iso8601,duration_minutes,num_stops,emissions_raw,emissions_co2e_kg,price,extracted_at
ht4qwAx3,FOR,CNF,04:40,11:10,LATAM,LATAM | AZUL,PT6H30M,390,1,0,0,1.937,"01/02/2026, 00:40:50"
nQRYKNHG,FOR,CNF,01:45,06:55,GOL,GOL,PT5H10M,310,1,0,0,2.071,"01/02/2026, 00:40:50"
PK6uPREn,FOR,CNF,04:40,09:50,LATAM,LATAM,PT5H10M,310,1,0,0,2.118,"01/02/2026, 00:40:50"
Cq6K9Eii,FOR,CNF,06:00,15:05,LATAM,LATAM | AZUL,PT9H5M,545,1,0,0,1.932,"01/02/2026, 00:40:50"
DxTaR23j,FOR,CNF,06:00,20:35,LATAM,LATAM | AZUL,PT14H35M,875,1,0,0,1.932,"01/02/2026, 00:40:50"
KoTAN2U5,FOR,CNF,06:00,07:10+1,LATAM,LATAM | AZUL,PT25H10M,1510,1,0,0,1.932,"01/02/2026, 00:40:50"
8vWBsWfo,FOR,CNF,02:05,11:10,LATAM,LATAM | AZUL,PT9H5M,545,1,0,0,1.937,"01/02/2026, 00:40:50"
KHXWjSww,FOR,CNF,06:00,15:00,LATAM,LATAM | AZUL,PT9H0M,540,1,0,0,1.957,"01/02/2026, 00:40:50"
SrM4Uwgp,FOR,CNF,06:00,16:10,LATAM,LATAM | AZUL,PT10H10M,610,1,0,0,1.957,"01/02/2026, 00:40:50"
Y69DnY22,FOR,CNF,06:00,17:05,LATAM,LATAM | AZUL,PT11H5M,665,1,0,0,1.957,"01/02/2026, 00:40:50"
VrunAw7V,FOR,CNF,06:00,15:40,LATAM,LATAM | AZUL,PT9H40M,580,1,0,0,2.029,"01/02/2026, 00:40:50"
mzgA2Foi,FOR,CNF,02:05,09:30,LATAM,LATAM,PT7H25M,445,1,0,0,2.058,"01/02/2026, 00:40:50"
j37B8JQN,FOR,CNF,06:00,14:55,LATAM,LATAM,PT8H55M,535,1,0,0,2.058,"01/02/2026, 00:40:50"
fvBUEqPU,FOR,CNF,04:35,10:00,GOL,GOL,PT5H25M,325,1,0,0,2.071,"01/02/2026, 00:40:50"
CRHDrJ6s,FOR,CNF,03:50,12:25,LATAM,LATAM,PT8H35M,515,1,0,0,2.118,"01/02/2026, 00:40:50"
HoPvE6vb,FOR,CNF,03:50,15:25,LATAM,LATAM,PT11H35M,695,1,0,0,2.118,"01/02/2026, 00:40:50"
Q6DynXDF,FOR,CNF,04:40,14:55,LATAM,LATAM,PT10H15M,615,1,0,0,2.118,"01/02/2026, 00:40:50"
NHkLYYVh,FOR,CNF,04:40,15:45,LATAM,LATAM,PT11H5M,665,1,0,0,2.118,"01/02/2026, 00:40:50"
7kF3HgiK,FOR,CNF,06:00,17:25,LATAM,LATAM,PT11H25M,685,1,0,0,2.122,"01/02/2026, 00:40:50"
YLxNbreg,FOR,CNF,06:00,19:10,LATAM,LATAM,PT13H10M,790,1,0,0,2.122,"01/02/2026, 00:40:50"
AxaGFc2o,FOR,CNF,06:00,23:35,LATAM,LATAM,PT17H35M,1055,1,0,0,2.122,"01/02/2026, 00:40:50"
XWn9xwQD,FOR,CNF,01:45,08:35,GOL,GOL,PT6H50M,410,1,0,0,2.150,"01/02/2026, 00:40:50"
jrPiYoAQ,FOR,CNF,02:10,10:30,GOL,GOL,PT8H20M,500,1,0,0,2.150,"01/02/2026, 00:40:50"
ngGzWdtm,FOR,CNF,04:35,10:25,GOL,GOL,PT5H50M,350,1,0,0,2.150,"01/02/2026, 00:40:51"
EnWZxc9i,FOR,CNF,04:35,11:40,GOL,GOL,PT7H5M,425,1,0,0,2.150,"01/02/2026, 00:40:51"
EqeY8Wmb,FOR,CNF,14:05,22:35,GOL,GOL,PT8H30M,510,1,0,0,2.150,"01/02/2026, 00:40:51"
7UENyyE8,FOR,CNF,17:20,22:20,GOL,GOL,PT5H0M,300,1,0,0,2.150,"01/02/2026, 00:40:51"
j4DTT63A,FOR,CNF,22:25,10:30+1,GOL,GOL,PT12H5M,725,1,0,0,2.150,"01/02/2026, 00:40:51"
VsxqQort,FOR,CNF,02:05,14:55,LATAM,LATAM,PT12H50M,770,1,0,0,2.150,"01/02/2026, 00:40:51"
7NozbJbw,FOR,CNF,02:05,17:25,LATAM,LATAM,PT15H20M,920,1,0,0,2.150,"01/02/2026, 00:40:51"
VB5hc2zH,FOR,CNF,02:05,19:10,LATAM,LATAM,PT17H5M,1025,1,0,0,2.150,"01/02/2026, 00:40:51"
cPoPpxC8,FOR,CNF,04:40,17:25,LATAM,LATAM,PT12H45M,765,1,0,0,2.150,"01/02/2026, 00:40:51"
gxrWKRGz,FOR,CNF,04:40,19:10,LATAM,LATAM,PT14H30M,870,1,0,0,2.150,"01/02/2026, 00:40:51"
mwiLqvHh,FOR,CNF,04:40,15:05,LATAM,LATAM | AZUL,PT10H25M,625,1,0,0,2.201,"01/02/2026, 00:40:51"
3xXzw49h,FOR,CNF,01:45,10:00,GOL,GOL,PT8H15M,495,2,0,0,2.267,"01/02/2026, 00:40:51"
RcmAiyJ2,FOR,CNF,04:35,17:20,GOL,GOL,PT12H45M,765,2,0,0,2.267,"01/02/2026, 00:40:51"
RC5mstb4,FOR,CNF,12:40,05:35+1,GOL,GOL,PT16H55M,1015,2,0,0,2.267,"01/02/2026, 00:40:51"
jxsDtSQg,FOR,CNF,04:40,07:25+1,LATAM,LATAM | AZUL,PT26H45M,1605,2,0,0,2.327,"01/02/2026, 00:40:51"
BJthWJQZ,FOR,CNF,01:45,14:20,GOL,GOL,PT12H35M,755,2,0,0,2.353,"01/02/2026, 00:40:51"
2x87gvsP,FOR,CNF,02:10,17:20,GOL,GOL,PT15H10M,910,2,0,0,2.353,"01/02/2026, 00:40:51"
ZqkLXrRV,FOR,CNF,04:35,14:20,GOL,GOL,PT9H45M,585,2,0,0,2.353,"01/02/2026, 00:40:51"
TCUCUss7,FOR,CNF,04:35,14:55,GOL,GOL,PT10H20M,620,2,0,0,2.353,"01/02/2026, 00:40:51"
ZUsNVkKK,FOR,CNF,04:35,15:40,GOL,GOL,PT11H5M,665,2,0,0,2.353,"01/02/2026, 00:40:51"
LNrbnx95,FOR,CNF,04:35,22:20,GOL,GOL,PT17H45M,1065,2,0,0,2.353,"01/02/2026, 00:40:51"
mCoNKAvs,FOR,CNF,12:40,05:35+1,GOL,GOL,PT16H55M,1015,2,0,0,2.353,"01/02/2026, 00:40:51"
aGHq2mDH,FOR,CNF,12:40,06:55+1,GOL,GOL,PT18H15M,1095,2,0,0,2.353,"01/02/2026, 00:40:51"
mkUDWxhz,FOR,CNF,22:25,10:00+1,GOL,GOL,PT11H35M,695,2,0,0,2.353,"01/02/2026, 00:40:51"
UcuGuiZ8,FOR,CNF,03:50,15:45,LATAM,LATAM,PT11H55M,715,2,0,0,2.365,"01/02/2026, 00:40:51"
LST8kmEz,FOR,CNF,03:50,15:45,LATAM,LATAM,PT11H55M,715,2,0,0,2.365,"01/02/2026, 00:40:51"
fRPSTKXX,FOR,CNF,04:40,14:55,LATAM,LATAM,PT10H15M,615,2,0,0,2.365,"01/02/2026, 00:40:51"
cXfqMvca,FOR,CNF,04:40,15:45,LATAM,LATAM,PT11H5M,665,2,0,0,2.365,"01/02/2026, 00:40:51"
c9wjzzFf,FOR,CNF,04:40,17:25,LATAM,LATAM,PT12H45M,765,2,0,0,2.365,"01/02/2026, 00:40:51"
EzDAv4jw,FOR,CNF,04:40,17:25,LATAM,LATAM,PT12H45M,765,2,0,0,2.365,"01/02/2026, 00:40:51"
36zgwYk4,FOR,CNF,10:30,22:10,LATAM,LATAM,PT11H40M,700,1,0,0,2.365,"01/02/2026, 00:40:51"
EgtVn8we,FOR,CNF,14:15,21:50,LATAM,LATAM,PT7H35M,455,2,0,0,2.365,"01/02/2026, 00:40:52"
PcXxCxBy,FOR,CNF,10:30,19:55,LATAM,LATAM,PT9H25M,565,1,0,0,2.376,"01/02/2026, 00:40:52"
AjQAcFEm,FOR,CNF,10:30,19:10,LATAM,LATAM,PT8H40M,520,1,0,0,2.398,"01/02/2026, 00:40:52"
ANBoK4ae,FOR,CNF,03:50,15:05,LATAM,LATAM | AZUL,PT11H15M,675,1,0,0,2.417,"01/02/2026, 00:40:52"
ghZpJAGK,FOR,CNF,03:50,14:55,LATAM,LATAM,PT11H5M,665,1,0,0,2.426,"01/02/2026, 00:40:52"
U7Keeygd,FOR,CNF,02:05,12:25,LATAM,LATAM,PT10H20M,620,1,0,0,2.427,"01/02/2026, 00:40:52"
gksjnfUN,FOR,CNF,06:00,15:25,LATAM,LATAM,PT9H25M,565,1,0,0,2.427,"01/02/2026, 00:40:52"
9BpZyeAh,FOR,CNF,14:10,23:25,LATAM,LATAM,PT9H15M,555,1,0,0,2.427,"01/02/2026, 00:40:52"
cVdCoBLP,FOR,CNF,20:05,07:20+1,LATAM,LATAM,PT11H15M,675,1,0,0,2.427,"01/02/2026, 00:40:52"
Z556bKpL,FOR,CNF,20:05,09:50+1,LATAM,LATAM,PT13H45M,825,2,0,0,2.427,"01/02/2026, 00:40:52"
VBkqtQdC,FOR,CNF,18:20,05:35+1,GOL,GOL,PT11H15M,675,1,0,0,2.437,"01/02/2026, 00:40:52"
hHUkTeBR,FOR,CNF,03:50,11:45,LATAM,LATAM | AZUL,PT7H55M,475,1,0,0,2.442,"01/02/2026, 00:40:52"
cZgtZ4ki,FOR,CNF,03:50,12:50,LATAM,LATAM | AZUL,PT9H0M,540,1,0,0,2.442,"01/02/2026, 00:40:52"
N5DNGKig,FOR,CNF,03:50,15:00,LATAM,LATAM | AZUL,PT11H10M,670,1,0,0,2.442,"01/02/2026, 00:40:52"
UCkwjbJQ,FOR,CNF,03:50,16:10,LATAM,LATAM | AZUL,PT12H20M,740,1,0,0,2.442,"01/02/2026, 00:40:52"
Pwb7x6DS,FOR,CNF,04:40,15:25,LATAM,LATAM,PT10H45M,645,1,0,0,2.454,"01/02/2026, 00:40:52"
JQ2Wsg8p,FOR,CNF,03:15,09:05,AZUL,AZUL,PT5H50M,350,1,0,0,2.551,"01/02/2026, 00:40:52"
KB4GWpZT,FOR,CNF,18:05,07:20+1,LATAM,LATAM,PT13H15M,795,1,0,0,2.579,"01/02/2026, 00:40:52"
DikJLquL,FOR,CNF,10:10,05:20+1,AZUL,AZUL,PT19H10M,1150,1,0,0,2.604,"01/02/2026, 00:40:52"
kqZUAogF,FOR,CNF,15:45,05:20+1,AZUL,AZUL,PT13H35M,815,1,0,0,2.604,"01/02/2026, 00:40:52"
8P4eUgmM,FOR,CNF,19:45,05:20+1,AZUL,AZUL,PT9H35M,575,1,0,0,2.604,"01/02/2026, 00:40:52"
4tSgEHmf,FOR,CNF,16:45,12:25+1,LATAM,LATAM,PT19H40M,1180,1,0,0,2.641,"01/02/2026, 00:40:52"
WjCbAZ2m,FOR,CNF,11:05,17:20,GOL,GOL,PT6H15M,375,1,0,0,2.659,"01/02/2026, 00:40:52"
82zZTHfN,FOR,CNF,16:45,22:20,GOL,GOL,PT5H35M,335,1,0,0,2.659,"01/02/2026, 00:40:52"
CfBTL9tw,FOR,CNF,22:25,12:55+1,GOL,GOL,PT14H30M,870,2,0,0,2.669,"01/02/2026, 00:40:52"
BSrtXHNW,FOR,CNF,10:10,14:50,AZUL,AZUL,PT4H40M,280,1,0,0,2.711,"01/02/2026, 00:40:52"
h9Hi8k3h,FOR,CNF,20:30,05:15+1,AZUL,AZUL,PT8H45M,525,1,0,0,2.711,"01/02/2026, 00:40:52"
UE2t4RnJ,FOR,CNF,12:50,21:15,AZUL,AZUL,PT8H25M,505,1,0,0,2.722,"01/02/2026, 00:40:52"
2q7MD8Rq,FOR,CNF,03:15,10:50,AZUL,AZUL,PT7H35M,455,1,0,0,2.723,"01/02/2026, 00:40:53"
Cuj73tXp,FOR,CNF,03:50,19:55,LATAM,LATAM,PT16H5M,965,1,0,0,2.785,"01/02/2026, 00:40:53"
FWJXbUKg,FOR,CNF,10:30,23:25,LATAM,LATAM,PT12H55M,775,1,0,0,2.785,"01/02/2026, 00:40:53"
YtoL5cJZ,FOR,CNF,14:10,23:35,LATAM,LATAM,PT9H25M,565,1,0,0,2.794,"01/02/2026, 00:40:53"
kNkLgTAC,FOR,CNF,17:00,21:50,LATAM,LATAM,PT4H50M,290,1,0,0,2.794,"01/02/2026, 00:40:53"
C2we6WFa,FOR,CNF,11:05,22:20,GOL,GOL,PT11H15M,675,1,0,0,2.803,"01/02/2026, 00:40:53"
6tQLsTYm,FOR,CNF,03:50,17:25,LATAM,LATAM,PT13H35M,815,1,0,0,2.818,"01/02/2026, 00:40:53"
nWnSyANz,FOR,CNF,03:50,19:10,LATAM,LATAM,PT15H20M,920,1,0,0,2.818,"01/02/2026, 00:40:53"
ewpEMsVM,FOR,CNF,02:05,15:25,LATAM,LATAM,PT13H20M,800,1,0,0,2.847,"01/02/2026, 00:40:53"
m3K8c9K8,FOR,CNF,04:40,19:55,LATAM,LATAM,PT15H15M,915,1,0,0,2.847,"01/02/2026, 00:40:53"
ko8n38Rd,FOR,CNF,06:00,19:55,LATAM,LATAM,PT13H55M,835,1,0,0,2.847,"01/02/2026, 00:40:53"
7KG7KFb8,FOR,CNF,09:40,20:50,AZUL,AZUL,PT11H10M,670,1,0,0,2.884,"01/02/2026, 00:40:53"
hmXCC2sN,FOR,CNF,12:50,22:40,AZUL,AZUL,PT9H50M,590,1,0,0,2.884,"01/02/2026, 00:40:53"
Wm9nE7wK,FOR,CNF,03:15,13:20,AZUL,AZUL,PT10H5M,605,1,0,0,2.920,"01/02/2026, 00:40:53"
