id,origin_iata,destination_iata,departure_time_local,arrival_time_local,main_airline,all_airlines,duration_iso8601,duration_minutes,num_stops,emissions_raw,emissions_co2e_kg,price,extracted_at
XUa84xNp,CPV,CNF,15:50,18:25,AZUL,AZUL,PT2H35M,155,0,0,0,1.600,"21/03/2026, 13:26:09"
kcF3szcu,CPV,CNF,13:45,18:40,AZUL,AZUL,PT4H55M,295,1,0,0,1.733,"21/03/2026, 13:26:09"
EvSMoftR,CPV,CNF,13:45,20:50,AZUL,AZUL,PT7H5M,425,1,0,0,1.733,"21/03/2026, 13:26:09"
CSTrSsAF,CPV,CNF,13:45,21:50,AZUL,AZUL,PT8H5M,485,1,0,0,1.733,"21/03/2026, 13:26:09"
KhchQDsM,CPV,CNF,13:45,05:20+1,AZUL,AZUL,PT15H35M,935,1,0,0,1.733,"21/03/2026, 13:26:09"
V8rB4uZm,CPV,CNF,01:45,06:25,GOL,GOL,PT4H40M,280,1,0,0,2.411,"21/03/2026, 13:26:09"
bwFgHXSN,CPV,CNF,01:45,09:40,GOL,GOL,PT7H55M,475,2,0,0,2.411,"21/03/2026, 13:26:09"
d7uyedNa,CPV,CNF,01:45,12:05,GOL,GOL,PT10H20M,620,2,0,0,2.411,"21/03/2026, 13:26:09"
KTz25iXi,CPV,CNF,01:45,14:00,GOL,GOL,PT12H15M,735,2,0,0,2.411,"21/03/2026, 13:26:10"
24CLLvb5,CPV,CNF,15:50,18:25,AZUL,AZUL,PT2H35M,155,0,0,0,1.600,"21/03/2026, 13:32:05"
LorvSKnJ,CPV,CNF,13:45,18:40,AZUL,AZUL,PT4H55M,295,1,0,0,1.733,"21/03/2026, 13:32:05"
CnEQCVLN,CPV,CNF,13:45,20:50,AZUL,AZUL,PT7H5M,425,1,0,0,1.733,"21/03/2026, 13:32:05"
RjGsbjwa,CPV,CNF,13:45,21:50,AZUL,AZUL,PT8H5M,485,1,0,0,1.733,"21/03/2026, 13:32:05"
VMrpMpMG,CPV,CNF,13:45,05:20+1,AZUL,AZUL,PT15H35M,935,1,0,0,1.733,"21/03/2026, 13:32:05"
8CH8aG5B,CPV,CNF,01:45,06:25,GOL,GOL,PT4H40M,280,1,0,0,2.411,"21/03/2026, 13:32:05"
gRwRPz27,CPV,CNF,01:45,09:40,GOL,GOL,PT7H55M,475,2,0,0,2.411,"21/03/2026, 13:32:05"
NUC4diXc,CPV,CNF,01:45,12:05,GOL,GOL,PT10H20M,620,2,0,0,2.411,"21/03/2026, 13:32:06"
Ha3UkziZ,CPV,CNF,01:45,14:00,GOL,GOL,PT12H15M,735,2,0,0,2.411,"21/03/2026, 13:32:06"
WB6o32Vr,CPV,CNF,15:50,18:25,AZUL,AZUL,PT2H35M,155,0,0,0,1.600,"21/03/2026, 13:48:48"
5KdWJ4dH,CPV,CNF,13:45,18:40,AZUL,AZUL,PT4H55M,295,1,0,0,1.733,"21/03/2026, 13:48:48"
8u9regB6,CPV,CNF,13:45,20:50,AZUL,AZUL,PT7H5M,425,1,0,0,1.733,"21/03/2026, 13:48:49"
G37vzmjL,CPV,CNF,13:45,21:50,AZUL,AZUL,PT8H5M,485,1,0,0,1.733,"21/03/2026, 13:48:49"
Pg3djXxP,CPV,CNF,13:45,05:20+1,AZUL,AZUL,PT15H35M,935,1,0,0,1.733,"21/03/2026, 13:48:49"
Wh79yS4U,CPV,CNF,01:45,06:25,GOL,GOL,PT4H40M,280,1,0,0,2.411,"21/03/2026, 13:48:49"
5NE9PJ5P,CPV,CNF,01:45,09:40,GOL,GOL,PT7H55M,475,2,0,0,2.411,"21/03/2026, 13:48:49"
YDqQ2D3m,CPV,CNF,01:45,12:05,GOL,GOL,PT10H20M,620,2,0,0,2.411,"21/03/2026, 13:48:49"
cxtpGWF2,CPV,CNF,01:45,14:00,GOL,GOL,PT12H15M,735,2,0,0,2.411,"21/03/2026, 13:48:49"
