id,origin_iata,destination_iata,departure_time_local,arrival_time_local,main_airline,all_airlines,duration_iso8601,duration_minutes,num_stops,emissions_raw,emissions_co2e_kg,price,extracted_at
Js8ivtAC,FOR,CNF,02:05,09:30,LATAM,LATAM,PT7H25M,445,1,218 kg de CO2e 31% mais emissões,218,1.054,"06/01/2026, 21:49:06"
UYw2uQRW,FOR,CNF,04:40,09:50,LATAM,LATAM,PT5H10M,310,1,217 kg de CO2e 30% mais emissões,217,1.054,"06/01/2026, 21:49:06"
F2ntY9vN,FOR,CNF,04:35,10:00,GOL,GOL,PT5H25M,325,1,219 kg de CO2e 31% mais emissões,219,1.137,"06/01/2026, 21:49:06"
XHVp8DA6,FOR,CNF,02:05,15:45,LATAM,LATAM,PT13H40M,820,2,312 kg de CO2e 87% mais emissões,312,1.054,"06/01/2026, 21:49:07"
i6QR5BcT,FOR,CNF,03:50,12:25,LATAM,LATAM,PT8H35M,515,1,265 kg de CO2e 59% mais emissões,265,1.054,"06/01/2026, 21:49:07"
CUgcHanF,FOR,CNF,03:50,15:25,LATAM,LATAM,PT11H35M,695,1,265 kg de CO2e 59% mais emissões,265,1.054,"06/01/2026, 21:49:07"
Vr5hPMVU,FOR,CNF,03:50,15:45,LATAM,LATAM,PT11H55M,715,2,360 kg de CO2e 116% mais emissões,360,1.054,"06/01/2026, 21:49:08"
CX5J2mT2,FOR,CNF,03:50,15:45,LATAM,LATAM,PT11H55M,715,2,360 kg de CO2e 116% mais emissões,360,1.054,"06/01/2026, 21:49:10"
iW8XjiPr,FOR,CNF,06:00,17:25,LATAM,LATAM,PT11H25M,685,1,261 kg de CO2e 56% mais emissões,261,1.054,"06/01/2026, 21:49:10"
TWJ4KLnZ,FOR,CNF,06:00,14:55,LATAM,LATAM,PT8H55M,535,1,261 kg de CO2e 56% mais emissões,261,1.058,"06/01/2026, 21:49:10"
nmY3VeBy,FOR,CNF,03:50,14:55,LATAM,LATAM,PT11H5M,665,1,262 kg de CO2e 57% mais emissões,262,1.087,"06/01/2026, 21:49:11"
9oFogpbB,FOR,CNF,02:05,12:25,LATAM,LATAM,PT10H20M,620,1,220 kg de CO2e 32% mais emissões,220,1.116,"06/01/2026, 21:49:11"
dhQyr9UE,FOR,CNF,06:00,15:25,LATAM,LATAM,PT9H25M,565,1,264 kg de CO2e 58% mais emissões,264,1.116,"06/01/2026, 21:49:11"
TrqgEdYw,FOR,CNF,14:10,23:25,LATAM,LATAM,PT9H15M,555,1,264 kg de CO2e 58% mais emissões,264,1.116,"06/01/2026, 21:49:11"
2VvyJK2V,FOR,CNF,02:05,14:55,LATAM,LATAM,PT12H50M,770,1,217 kg de CO2e 30% mais emissões,217,1.15,"06/01/2026, 21:49:11"
EtLotDwR,FOR,CNF,04:40,14:55,LATAM,LATAM,PT10H15M,615,2,303 kg de CO2e 81% mais emissões,303,1.15,"06/01/2026, 21:49:12"
QpFLGNjp,FOR,CNF,04:40,15:45,LATAM,LATAM,PT11H5M,665,1,217 kg de CO2e 30% mais emissões,217,1.15,"06/01/2026, 21:49:12"
Rvvfwdqp,FOR,CNF,04:40,17:25,LATAM,LATAM,PT12H45M,765,2,303 kg de CO2e 81% mais emissões,303,1.15,"06/01/2026, 21:49:15"
3eCUeANg,FOR,CNF,04:40,19:10,LATAM,LATAM,PT14H30M,870,2,303 kg de CO2e 81% mais emissões,303,1.15,"06/01/2026, 21:49:15"
8rpUYGAD,FOR,CNF,06:00,19:10,LATAM,LATAM,PT13H10M,790,1,261 kg de CO2e 56% mais emissões,261,1.15,"06/01/2026, 21:49:15"
ntV5cK2z,FOR,CNF,03:50,17:25,LATAM,LATAM,PT13H35M,815,1,262 kg de CO2e 57% mais emissões,262,1.184,"06/01/2026, 21:49:15"
U6cAKo2t,FOR,CNF,02:05,15:25,LATAM,LATAM,PT13H20M,800,1,220 kg de CO2e 32% mais emissões,220,1.212,"06/01/2026, 21:49:15"
K8Nh8PUh,FOR,CNF,06:00,19:55,LATAM,LATAM,PT13H55M,835,1,264 kg de CO2e 58% mais emissões,264,1.212,"06/01/2026, 21:49:15"
etdZ9EMg,FOR,CNF,04:40,21:50,LATAM,LATAM,PT17H10M,1030,2,358 kg de CO2e 114% mais emissões,358,1.242,"06/01/2026, 21:49:15"
gGFFrWWU,FOR,CNF,06:00,21:50,LATAM,LATAM,PT15H50M,950,2,357 kg de CO2e 114% mais emissões,357,1.242,"06/01/2026, 21:49:15"
Rd8jy88L,FOR,CNF,06:00,21:50,LATAM,LATAM,PT15H50M,950,2,357 kg de CO2e 114% mais emissões,357,1.242,"06/01/2026, 21:49:15"
KxfMFzKn,FOR,CNF,14:10,23:35,LATAM,LATAM,PT9H25M,565,1,262 kg de CO2e 57% mais emissões,262,1.242,"06/01/2026, 21:49:15"
3Kg646AK,FOR,CNF,14:15,21:50,LATAM,LATAM,PT7H35M,455,1,218 kg de CO2e 31% mais emissões,218,1.242,"06/01/2026, 21:49:15"
VN53HtBN,FOR,CNF,14:15,23:25,LATAM,LATAM,PT9H10M,550,2,306 kg de CO2e 83% mais emissões,306,1.242,"06/01/2026, 21:49:15"
TGx7igg9,FOR,CNF,14:15,23:25,LATAM,LATAM,PT9H10M,550,2,306 kg de CO2e 83% mais emissões,306,1.242,"06/01/2026, 21:49:15"
4dKwdhG3,FOR,CNF,17:00,21:50,LATAM,LATAM,PT4H50M,290,1,218 kg de CO2e 31% mais emissões,218,1.242,"06/01/2026, 21:49:15"
6DHyEq55,FOR,CNF,04:05,11:45,AZUL,AZUL,PT7H40M,460,1,318 kg de CO2e 90% mais emissões,318,1.292,"06/01/2026, 21:49:15"
dddTfNef,FOR,CNF,04:05,12:50,AZUL,AZUL,PT8H45M,525,1,318 kg de CO2e 90% mais emissões,318,1.292,"06/01/2026, 21:49:15"
LDFu4DrL,FOR,CNF,04:05,15:00,AZUL,AZUL,PT10H55M,655,1,318 kg de CO2e 90% mais emissões,318,1.292,"06/01/2026, 21:49:15"
JKEWkDtP,FOR,CNF,04:05,16:10,AZUL,AZUL,PT12H5M,725,1,318 kg de CO2e 90% mais emissões,318,1.292,"06/01/2026, 21:49:15"
F6S2EycA,FOR,CNF,04:05,17:05,AZUL,AZUL,PT13H0M,780,1,318 kg de CO2e 90% mais emissões,318,1.292,"06/01/2026, 21:49:15"
MsKBCj7R,FOR,CNF,16:45,23:35,LATAM,LATAM,PT6H50M,410,1,262 kg de CO2e 57% mais emissões,262,1.36,"06/01/2026, 21:49:16"
a3ATB4E3,FOR,CNF,02:05,17:25,LATAM,LATAM,PT15H20M,920,1,217 kg de CO2e 30% mais emissões,217,1.387,"06/01/2026, 21:49:16"
2EPnbC7B,FOR,CNF,02:05,19:10,LATAM,LATAM,PT17H5M,1025,1,217 kg de CO2e 30% mais emissões,217,1.387,"06/01/2026, 21:49:16"
eyTtgkVR,FOR,CNF,03:50,19:55,LATAM,LATAM,PT16H5M,965,1,265 kg de CO2e 59% mais emissões,265,1.387,"06/01/2026, 21:49:16"
Jsqbx73w,FOR,CNF,04:40,21:50,LATAM,LATAM,PT17H10M,1030,1,218 kg de CO2e 31% mais emissões,218,1.387,"06/01/2026, 21:49:16"
cbdQnLG8,FOR,CNF,14:15,09:50+1,LATAM,LATAM,PT19H35M,1175,1,217 kg de CO2e 30% mais emissões,217,1.387,"06/01/2026, 21:49:16"
